1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 7.5, 10
75.17%, 58.63%, 57.53%, 45.87%, 44.28%, 36.40%, 34.07%, 28.81%, 26.04%, 22.72%, 12.63%, 7.44%, 4.19%, 2.36%, 1.36%, 0.78%, 0.04%, 0.01%
