,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1000.0,884.31,833.91,821.77,802.55,828.73,813.6,830.35,826.34,771.44,772.08,715.16,703.51,685.05,675.52,675.89,642.94,638.46,653.65,673.93,663.74,670.29,679.79,692.9,653.55,652.68,639.14,637.18,634.51,620.09,619.33,612.61,603.7,586.37,577.09,570.9,554.28,542.46,532.91,535.86,537.02,529.71,529.64,554.64,568.62,562.92,560.35,548.61,537.64,534.65,527.91,518.45,517.04,498.52,487.84,472.05,476.78,468.15,462.99,457.75,459.74,461.19,470.76,455.75,445.96,443.14,441.6,435.46,422.72,421.86,420.95,423.04,412.82,399.97,396.45,388.94,399.48,399.61,397.92,385.57,368.09,358.15,350.89,344.15,373.85,373.61,373.39,381.43,380.14,373.29,367.13,356.89,354.03,365.93,358.45,346.45,347.53,351.68,351.34,343.48,336.04
1,1000.0,911.6,853.6,803.2,811.6,797.6,776.0,729.6,692.8,699.2,686.4,705.2,676.8,646.4,666.0,645.6,638.8,632.8,621.6,618.4,595.2,583.2,612.4,586.4,591.6,574.0,554.0,534.0,508.4,499.6,487.2,468.4,460.8,454.0,434.0,423.2,420.4,421.6,414.4,411.6,414.0,431.6,422.4,438.4,439.2,434.4,430.4,429.2,438.0,455.2,447.2,438.8,440.0,432.4,426.0,429.6,430.4,423.2,417.2,408.4,406.4,416.0,416.0,408.4,406.8,408.8,405.6,399.2,397.6,393.2,391.2,387.6,379.2,383.2,381.2,380.0,375.2,373.2,369.2,365.6,358.4,355.6,349.2,345.6,360.0,356.4,359.2,354.0,355.2,352.8,348.4,345.2,342.0,337.6,339.6,341.2,338.0,336.8,338.0,329.2,327.4
2,1000.0,912.96,833.38,815.09,775.39,764.83,746.5,708.99,701.86,693.37,673.1,679.42,706.47,696.28,695.56,683.94,674.2,673.48,667.37,677.66,672.31,688.7,675.57,678.45,650.87,630.63,616.54,606.77,599.33,583.37,574.93,590.13,602.66,596.97,609.9,612.62,597.84,581.88,573.11,560.65,585.69,580.74,575.34,568.93,568.5,562.03,564.09,581.47,573.64,563.88,565.65,560.95,557.48,555.11,550.2,545.16,539.06,536.35,531.48,523.64,513.99,506.27,502.49,496.3,488.81,486.92,478.18,479.29,470.7,472.6,468.36,471.31,474.29,473.99,468.55,465.13,458.71,452.29,467.95,470.09,462.95,455.78,453.15,447.98,445.5,432.63,428.19,428.78,424.61,421.42,414.78,418.48,416.05,405.75,397.45,395.44,395.0,393.39,395.76,389.71,388.39
3,1000.0,881.0,782.6,755.0,706.4,693.6,680.4,648.6,610.6,609.6,588.0,546.0,518.6,490.8,505.8,463.0,448.2,461.2,452.6,473.0,461.4,434.4,442.4,430.2,420.0,400.6,418.2,420.8,421.0,416.8,406.4,419.8,411.4,401.8,390.8,369.6,362.8,363.6,361.2,344.8,355.8,347.8,334.0,320.2,302.6,298.4,282.2,278.2,265.6,268.4,264.6,259.6,248.2,243.0,226.0,229.6,221.8,214.2,226.6,224.0,215.8,212.6,210.0,212.0,216.2,221.8,238.2,232.8,219.0,213.4,211.4,203.4,191.0,187.6,175.4,178.2,178.8,169.4,164.2,154.6,150.0,147.4,143.4,149.2,143.6,145.8,154.6,149.8,152.6,147.8,148.4,137.4,136.2,138.8,134.4,133.8,138.2,135.4,132.0,130.2,130.0
