,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1000.0,724.5,667.75,566.25,569.25,490.25,450.75,415.25,448.75,422.0,340.5,384.0,366.25,364.5,312.5,242.5,192.5,187.0,107.0,68.0,87.5
1,1000.0,670.0,490.0,475.0,295.0,285.0,250.0,225.0,200.0,105.0,120.0,130.0,180.0,165.0,155.0,110.0,120.0,120.0,100.0,120.0,110.0
2,1000.0,650.25,442.5,321.0,302.25,226.5,180.0,105.75,111.75,94.75,43.5,50.75,38.75,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1000.0,540.0,600.0,525.0,600.0,505.0,440.0,555.0,535.0,420.0,360.0,300.0,260.0,255.0,205.0,155.0,105.0,100.0,95.0,135.0,90.0
