,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1000.0,967.23,923.62,896.46,882.91,870.72,852.49,825.97,803.37,785.26,764.76,720.74,677.52,648.79,619.22,598.46,576.68,559.07,524.55,486.47,456.1
1,1000.0,968.4,952.8,926.4,906.0,886.4,859.6,831.2,817.6,790.8,770.4,752.4,742.4,714.8,695.6,669.6,651.2,632.2,621.6,592.0,576.4
2,1000.0,980.85,961.42,940.82,916.71,888.31,872.0,850.62,824.17,804.74,783.03,762.87,742.71,726.66,707.72,689.17,665.16,639.59,613.24,601.83,581.28
3,1000.0,985.2,922.0,912.8,892.8,889.2,864.4,862.8,820.6,809.4,779.4,731.2,662.2,653.4,606.2,575.0,570.6,550.4,523.6,504.0,480.0
