,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1000.0,798.9,708.9,746.0,728.4,586.6,612.4,570.2,508.4,472.6,389.2,382.7,319.1,275.8,262.4,198.0,166.2,144.2,128.6,147.8,125.3
1,1000.0,796.0,668.0,548.0,536.0,436.0,400.0,340.0,296.0,236.0,200.0,156.0,124.0,104.0,100.0,104.0,112.0,112.0,92.0,92.0,98.0
2,1000.0,783.6,537.1,510.9,456.0,393.5,305.6,259.2,227.6,198.4,178.2,147.3,107.6,101.1,98.6,100.0,62.4,76.0,58.4,42.3,42.9
3,1000.0,678.0,596.0,650.0,594.0,532.0,492.0,486.0,524.0,514.0,492.0,442.0,464.0,414.0,366.0,372.0,312.0,266.0,220.0,222.0,186.0
