,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1000.0,890.85,833.65,802.45,752.35,692.35,663.7,606.25,601.35,556.95,545.85,573.45,570.75,592.75,567.65,503.8,491.95,465.3,477.0,468.45,476.65
1,1000.0,872.0,694.0,586.0,475.0,405.0,345.0,291.0,259.0,204.0,190.0,170.0,149.0,140.0,132.0,99.0,96.0,80.0,82.0,69.0,64.0
2,1000.0,896.45,844.55,771.9,747.65,690.75,662.85,609.9,564.85,521.1,451.1,384.5,373.5,324.7,304.15,271.05,241.75,216.15,202.65,194.75,181.15
3,1000.0,851.0,909.0,807.0,731.0,802.0,702.0,612.0,611.0,621.0,586.0,555.0,576.0,579.0,506.0,546.0,546.0,542.0,495.0,484.0,467.0
