,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
Chip10,1000,986.048,972.393,960.282,948.1625,938.456,926.849,910.262,899.6775,888.1725,876.384,862.7345,850.9705,834.718,824.039,809.584,796.8955,784.081,775.329,763.5915,750.031,738.5735,727.419,715.3595,703.763,690.3525,678.7565,666.7275,655.514,643.2505,632.7125,626.057,612.336,599.7185,589.184,578.611,566.029,554.8035,543.6335,532.579,519.0635,509.278,499.3365,488.926,478.5895,467.053,457.3595,448.0675,438.6905,427.9205,419.248,409.178,398.319,388.501,379.311,374.3935,364.587,355.432,345.328,338.868,332.828,324.1605,316.1865,307.196,299.947,292.855,286.331,277.958,270.457,262.832,255.2915,246.7505,240.48,235.074,229.5455,222.823,216.6125,210.5415,205.4185,198.296,194.8195,191.6185,187.1025,183.481,177.5675,172.519,167.513,161.8505,157.2115,153.19,148.644,145.256,142.6115,139.942,136.1355,134.013,132.2965,128.3495,122.874,118.6115,114.456,112.225,109.571,107.4005,105.0425,102.679,100.239,99.118,96.192,94.29,93.5505,93.06,90.6395,87.757,86.5225,83.439,80.402,78.505,76.792,74.8585,73.189,71.039,69.801,68.1565,67.2705,65.484,63.6445,61.8315,60.175,58.193,56.4255,55.224,52.9665,50.8365,50.236,48.494,46.992,45.723,45.3605,43.134,41.3835,39.3525,38.311,37.541,35.802,34.5335,33.4065,32.5885,31.298,30.5535,28.795,27.983,27.468,25.965,25.005,24.2405,23.346,22.8405,21.274,20.52,20.145,19.632,18.774,18.933,18.861,18.7485,18.082,18.187,18.2245,17.821,17.07,15.8445,16.2565,15.6725,15.4085,14.7535,13.81,13.6425,13.4395,13.1165,12.4745,11.8365,10.994,10.5825,10.2475,10.0945,9.843,9.4345,8.5465,8.44,8.063,7.6245,7.5165,7.192,6.7295,6.6935,6.7835,6.488,5.9615,5.937,5.8515
chip20,1000,973.034,946.942,920.611,900.028,880.576,851.424,828.233,805.081,782.027,757.829,738.636,709.18,685.535,664.341,639.255,628.338,612.213,594.718,570.399,552.841,532.304,508.113,489.148,469.493,456.376,440.249,424.085,410.47,401.423,389.288,371.023,355.265,342.961,327.09,316.166,304.203,296.553,286.755,273.171,261.496,251.641,240.8,235.495,230.194,220.363,215.268,201.533,197.635,189.299,185.369,179.104,173.719,167.829,163.265,156.736,153.184,146.917,144.036,140.721,136.094,131.563,127.314,124.732,121.607,116.141,111.216,105.811,104.161,99.919,96.091,94.947,91.213,89.396,85.012,82.62,81.341,78.022,77.136,73.39,71.5,68.952,65.522,65.519,65.066,62.607,61.814,60.614,58.401,56.268,55.003,53.354,52.264,51.222,48.535,46.057,45.64,45.743,43.663,42.172,41.374,39.22,38.774,37.586,37.458,35.465,34.836,33.223,31.151,30.953,30.386,28.215,27.851,28.421,26.707,26.214,25.119,24.216,23.812,23.375,22.434,22.284,22.025,20.807,19.739,19.706,18.345,17.524,16.925,15.783,14.767,14.407,14.809,14.574,13.851,13.777,13.132,12.546,11.858,12.162,11.806,10.268,9.03,8.83,8.862,7.799,7.381,7.118,6.713,6.563,6.736,5.888,5.416,5.518,4.952,4.438,4.464,4.255,3.759,3.569,3.343,3.01,2.808,2.811,2.402,1.835,1.745,1.53,2.142,2.216,2.01,1.946,1.959,1.754,1.587,1.521,1.276,1.473,1.628,1.424,1.102,0.897,0.914,0.969,0.846,0.82,0.715,0.712,0.685,0.481,0.16,0.348,0.385,0.185,0.144,0.203,0.222,0.14,0.358,0.277,0.277
chip50,1000,941.1125,874.9475,828.065,780.1925,738.62,686.01,660.305,630.565,597.3,564.58,534.18,513.67,478.75,460.27,437.0275,416.98,396.0375,377.7925,359.2925,341.6975,322.3275,304.69,285.355,272.1075,265.76,255.37,238.08,225.935,216.92,203.06,189.0225,180.795,173.05,167.69,155.87,149.035,142.825,133.6725,127.49,121.3075,116.4075,111.0825,104.0075,97.205,89.83,85.0975,76.1675,73.0725,69.375,66.845,61.7675,56.505,56.74,54.86,50.2075,47.7225,44.5025,42.8975,39.425,36.68,37.4575,34.1925,31.6475,29.2325,25.6925,25.1475,24.24,22.235,24.315,24.3175,22.9775,21.8075,20.7125,19.9525,19.3725,19.4275,17.735,16.7425,16.56,16.78,15.99,15.54,14.995,15.715,15.1325,14.81,16.145,16.9525,15.385,15.61,14.985,15.3575,14.2175,13.5475,12.885,12.47,12.05,10.9475,10.225,9.605,10.34,10.385,9.28,9.12,9.605,8.855,8.3425,7.73,7.275,7.36,7.7475,7.0375,6.6725,5.8675,6.645,6.935,6.8725,6.805,6.29,5.5825,5.5125,4.795,5.985,5.23,5.0125,4.3,4.195,3.4875,3.325,3.32,2.885,2.28,1.73,1.33,1.925,1.725,1.52,1.2175,1.1075,0.805,0.95,0.7475,0.5425,0.3375,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip100,1000,854.5,760.16,695.625,635.83,585.875,526.54,481.095,440.98,397.5,372.965,348.465,316.38,299.1,283.18,257.24,242.485,232.165,222.005,212.195,202.57,188.575,178.415,165.945,159.895,148.16,135.475,133.945,132.165,129.265,122.14,117.665,107.905,101.95,92.87,91.86,83.795,78.045,74.405,72.725,65.525,65.615,61.44,55.79,51.475,50.2,43.21,41.56,37.725,35.905,38.11,37.755,34.005,30.235,29.655,27.475,28.67,25.915,22.48,22.005,22.845,25.385,23.18,22.24,21.995,18.38,16.32,15.265,13.735,13.11,13.7,12.72,12.49,12.375,11.55,11.535,10.71,8.895,9.67,8.26,8.845,7.93,6.9,6.78,7.065,5.635,4.805,4.88,5.46,4.595,4.68,5.15,5.135,6.31,5.9,5.08,4.655,3.47,4.27,3.47,3.37,2.76,5.05,4.45,3.645,3.435,2.63,2.415,2.01,1.21,1.905,2.595,2.69,2.085,1.68,1.27,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip200,1000,787.49,689.69,605,569.91,521.11,471.7,463.61,427.51,396.58,373.76,359.96,334.33,313.07,288.12,273.78,261.56,255.01,237.29,223.66,207.68,197.21,192.35,181.62,171.86,160.95,146.38,144.5,140.82,134.97,130.31,135.38,138.5,130.07,131.83,129.1,126.92,124.35,123.23,119.09,114.14,114.33,112.48,106.9,103.06,94.73,95.58,89.39,88.93,82.37,83.56,84.33,81.72,80.42,76.46,72.83,70.48,66.9,68.95,70.04,68.15,62.23,60.87,57.82,63.33,64.47,63.39,63.09,61.4,57.95,54.64,53.36,46.87,43,43.15,40.25,38.2,38.34,37.26,35.78,33.93,33.65,35.03,34.36,31.92,29.03,26.2,27.33,26.45,25.85,23.41,21.37,20.73,19.88,19.44,18.81,15.17,15.33,16.87,14.21,13.99,12.76,12.13,10.89,13.88,15.45,15.66,14.06,13.24,12.43,12.01,14.8,13.19,12.38,11.58,10.37,10.96,10.15,8.93,8.13,7.7,9.07,8.65,6.65,5.44,5.02,3.41,2.21,1.8,4.36,5.74,4.93,2.93,3.53,2.32,2.29,2.25,1.43,2.82,1.21,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip500,1000,719.9,605.1,516.45,473.175,405.15,372.4,317.175,319.35,305.075,311.775,299.675,275.1,253.325,243.975,234.975,227.65,219.625,201.325,194.7,187.125,164.825,165.675,144.675,139.575,141.775,135.325,118.075,114.15,138.675,130.9,117.55,105.05,103.65,119.275,103.25,94.025,83.225,78.475,68.25,71.2,64.025,71.55,74.4,76.2,66.1,60.025,57.425,52.25,52.15,51.55,47.475,48.8,47.2,43.625,35.525,31.4,23.15,18.05,20.5,17.95,21.375,18.95,18.9,14.9,13.85,16.3,13.25,10.25,7.25,4.225,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
