,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Chip10,1000.0,987.656,976.342,964.4625,953.7725,943.141,933.075,922.775,912.865,902.643,892.109,880.3465,870.2025,861.209,849.31,840.102,831.44,821.647,810.06,799.3505,789.109,779.004,769.601,758.9305,746.778,735.6005,725.0665,716.268,705.5585,695.1025,684.003,672.104,662.818,653.571,642.92,631.567,621.111,610.889,600.7645,591.5025,579.0475,567.6405,557.1555,546.061,534.484,524.9595,513.9165,503.698,493.6575,483.9,474.14,464.3865,452.987,443.142,433.1715,420.889,412.01,400.5375,389.2265,378.9,369.948,360.5625,349.58,341.0355,330.934,322.2785,312.8835,303.3035,293.6675,284.3655,276.3785,268.164,261.039,253.138,245.3735,237.5085,230.48,223.3315,214.9875,207.385,201.7065,195.0,188.683,183.5045,177.489,171.8585,166.3515,161.0115,154.8995,149.131,141.456,137.806,134.1545,129.8385,124.8945,120.115,115.4205,111.0655,107.428,102.624,98.055,94.7545,90.2205,86.6175,83.3195,80.04,77.2115,74.1015,71.1735,68.6275,66.105,62.85,61.358,59.597,57.1605,55.337,52.606,50.13,48.0185,46.294,44.211,42.187,39.8275,38.532,37.264,34.8175,33.5655,31.984,30.5655,29.6565,28.4995,27.3385,26.0505,24.6725,23.2035,22.38,21.645,20.0905,18.4215,18.012,17.3375,16.4145,15.344,14.2315,13.737,13.2355,12.158,11.4735,10.739,10.257,9.453,9.439,9.02,8.2905,7.7795,7.574,7.467,6.853,6.3065,6.246,5.7855,5.496,5.148,4.905,4.789,4.6755,4.489,4.2685,3.999,3.6105,3.3645,3.267,2.8955,2.797,2.8155,2.561,2.361,2.3625,1.9575,1.759,1.773,1.6115,1.6645,1.5615,1.4585,1.3545,1.3725,1.259,1.183,1.0875,0.9335,0.93,0.915,0.88,0.887,0.7965,0.628,0.596,0.5175,0.527,0.479
chip20,1000.0,981.279,958.105,933.605,913.356,892.405,871.883,850.854,828.382,809.615,789.6,764.476,744.734,721.053,704.613,684.517,662.403,643.384,625.923,603.822,582.317,563.104,540.567,520.606,501.234,483.33,462.616,445.367,428.997,411.613,396.283,382.365,365.64,346.412,330.069,314.743,298.092,283.755,269.319,256.492,244.14,230.952,217.262,208.86,197.852,188.861,178.428,168.804,159.296,152.49,143.356,135.711,129.147,121.927,114.766,110.454,103.473,98.988,94.17,90.324,85.262,80.295,75.152,71.569,67.584,65.477,61.763,57.852,54.024,50.857,48.477,45.691,42.232,39.549,37.602,36.362,34.977,32.978,30.709,28.899,27.11,25.293,24.543,23.483,22.516,21.393,19.635,18.507,17.349,16.125,15.16,14.694,13.416,12.433,11.646,10.741,10.6,10.689,10.349,9.736,8.748,7.865,6.485,5.952,5.831,5.59,4.977,4.92,5.04,4.614,4.539,4.546,4.476,3.782,3.536,3.129,2.713,2.492,2.34,2.422,2.153,1.977,2.064,1.917,1.713,1.693,1.4,1.458,1.516,1.574,1.476,1.222,1.124,0.987,0.93,0.993,0.834,0.941,0.97,1.077,1.067,1.174,1.086,1.037,1.027,1.095,0.968,1.192,1.143,1.016,1.162,1.113,1.181,1.132,1.083,0.995,0.907,0.858,0.653,0.526,0.594,0.584,0.457,0.33,0.359,0.427,0.345,0.34,0.374,0.291,0.247,0.242,0.198,0.115,0.071,0.027,0.061,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip50,1000.0,942.375,893.8975,839.765,780.6225,729.915,683.25,637.9575,593.7925,541.315,496.965,463.5475,425.555,392.0925,360.08,330.34,304.1025,277.2325,255.2825,238.47,223.8275,210.435,192.6975,177.37,164.4175,148.5975,133.365,122.2775,109.605,106.4025,98.2725,88.0275,83.5075,77.905,70.77,69.215,65.9525,61.7175,57.1675,51.7675,46.2375,44.7575,38.525,37.0125,33.2125,31.76,28.515,25.8125,24.4325,23.835,21.6775,18.3075,19.05,17.3125,16.2975,13.68,11.7825,9.4125,8.1525,7.1325,7.08,5.97,5.5725,5.2,4.32,3.4175,3.16,3.39,2.84,2.9725,3.5925,3.8225,3.76,2.9775,2.7325,2.585,2.73,2.7775,2.46,2.13,1.8,1.86,1.725,1.6875,1.3575,0.93,0.92,0.7975,0.87,0.7475,0.7225,0.405,0.385,0.1775,0.2625,0.1525,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip100,1000.0,886.41,778.305,689.04,611.38,560.665,480.765,436.74,377.865,337.14,300.235,264.115,234.225,206.365,182.94,164.94,149.245,130.365,121.665,111.03,101.66,90.495,81.0,71.37,70.485,65.17,59.52,55.26,53.66,48.495,44.46,40.185,40.745,33.33,30.065,24.415,23.79,22.46,18.405,14.64,13.805,11.815,10.155,7.395,7.37,6.975,5.855,5.29,3.57,2.925,2.655,1.605,2.115,1.685,1.635,1.585,1.535,1.29,0.655,0.605,0.945,0.35,0.91,0.885,0.665,1.03,1.395,1.175,1.15,0.735,0.905,0.685,1.05,1.025,1.195,0.975,0.95,0.73,0.9,1.07,0.655,0.63,0.8,0.775,0.75,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip200,1000.0,761.73,638.84,520.91,442.56,375.45,315.63,261.42,234.03,193.2,175.02,154.65,146.66,124.23,105.55,88.6,76.44,72.49,64.27,60.87,55.44,54.2,57.24,50.8,44.66,40.71,41.14,37.77,34.89,32.89,30.29,28.02,27.86,24.97,19.86,20.09,18.91,20.07,19.28,18.1,15.39,12.0,10.4,7.86,8.05,8.24,8.43,6.27,6.16,6.45,7.52,7.42,6.54,7.61,7.9,8.97,9.26,7.21,7.5,7.01,8.08,6.81,7.49,6.61,5.34,4.18,2.96,2.52,2.08,2.03,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip500,1000.0,641.325,503.775,383.65,337.35,303.8,254.75,221.85,209.925,192.925,154.2,136.5,117.125,101.4,84.625,72.175,66.75,68.9,60.9,61.35,56.925,51.075,47.625,43.275,40.575,35.925,32.25,26.575,19.2,15.775,14.95,15.675,15.425,13.925,14.775,12.7,14.525,16.35,17.2,16.1,14.025,13.9,10.85,12.675,9.625,9.5,7.425,5.35,5.225,5.1,4.0,2.9,0.825,0.7,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
