,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1000.0,895.505,780.15,704.28,619.68,575.45,530.76,492.815,460.505,428.8,397.885,372.085,336.6,320.215,304.92,284.575,262.64,249.4,239.895,236.755,233.74,226.06,205.49,191.705,188.9,180.565,175.695,169.425,165.84,158.76,154.835,149.56,149.505,141.145,138.955,134.63,132.38,121.36,112.08,105.645,104.97,98.915,99.685,97.97,88.96,89.415,83.53,79.215,73.05,67.925,61.425
1,1000.0,878.7,789.3,690.9,604.5,531.3,473.8,413.1,360.2,318.3,291.3,266.2,227.4,205.2,181.6,165.0,147.8,138.6,130.4,121.2,108.6,99.0,98.1,95.9,87.1,78.8,73.5,63.8,61.4,56.7,56.1,49.3,44.1,42.9,43.9,40.8,38.8,36.7,33.3,29.0,27.6,23.4,20.7,17.6,16.9,14.0,14.0,13.0,11.5,10.8,10.0
2,1000.0,879.2,768.965,680.775,613.65,532.745,472.545,417.955,386.25,340.56,305.695,277.925,251.685,235.62,212.73,189.765,170.65,162.075,146.445,139.355,124.535,115.095,101.155,91.91,83.925,76.845,71.44,64.47,61.48,58.225,51.57,47.15,47.08,42.45,40.745,38.335,35.685,36.23,34.875,32.985,31.045,26.485,24.99,21.985,20.01,17.745,15.72,14.915,13.68,12.09,10.425
3,1000.0,884.9,790.0,750.0,686.2,662.0,606.6,556.5,532.9,506.7,467.6,436.7,435.3,414.7,382.0,362.4,334.5,311.9,289.8,274.6,266.2,256.2,250.3,231.4,216.6,209.5,195.0,190.8,189.9,192.6,184.2,171.2,172.7,164.4,154.3,146.6,144.0,141.9,138.0,135.3,135.5,133.7,126.6,121.6,123.7,117.9,117.5,103.1,108.9,102.6,106.2
