,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1000.0,634.875,509.95,451.575,403.125,372.175,373.25,360.425,360.45,341.45,332.125,326.85,306.275,288.525,269.975,253.8,248.925,267.5,259.4,237.05,208.25,201.125,194.15,183.0,188.85,171.75,157.225,135.8,122.225,106.15,102.9,89.025,88.65,93.5,94.175,87.375,83.6,77.85,67.125,65.275,50.1,52.375,47.6,50.35,60.2,50.4,50.25,39.8,30.175,38.925,38.875
1,1000.0,628.5,504.5,428.0,330.5,256.0,212.0,182.5,149.5,131.5,121.0,102.0,78.0,73.5,68.5,62.0,57.0,53.0,45.5,41.0,34.5,32.5,29.5,29.0,28.5,28.5,26.5,26.5,24.5,21.5,20.0,16.0,14.5,13.5,15.5,14.5,12.5,10.5,8.0,9.0,5.5,2.5,2.5,3.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0
2,1000.0,673.125,508.65,396.6,348.075,308.2,285.675,258.675,239.075,222.675,188.025,156.4,139.625,122.7,122.525,118.925,101.625,97.5,88.425,79.275,83.05,74.75,69.525,70.95,59.7,53.775,48.025,42.175,37.725,35.475,33.15,28.875,23.625,21.3,18.0,19.575,22.125,19.8,18.45,15.15,13.8,6.6,7.075,7.8,8.525,7.3,6.075,5.35,6.2,6.075,8.4
3,1000.0,670.5,554.0,516.5,421.5,376.0,337.5,349.5,332.5,333.0,306.0,314.0,291.5,292.5,284.5,242.0,255.0,240.5,221.5,211.5,202.5,199.0,181.5,186.5,191.5,183.0,174.5,143.5,135.0,118.0,121.0,100.5,93.5,100.0,115.5,107.5,110.0,90.0,83.5,77.0,88.5,91.0,87.0,90.0,93.0,91.5,94.5,111.0,100.5,90.0,76.5
